2023-05-14 20:05:288 INFO  ElectronicsPage :34 - This method select menu on top menu 
2023-05-14 20:05:423 INFO  ShoppingCartPage :117 - mouse Hover To Shopping Card [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //span[@class='cart-label']]
2023-05-14 20:05:609 INFO  ShoppingCartPage :128 - mouse Hover To GoTo Card And Click [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //button[normalize-space()='Go to cart']]
2023-05-14 20:05:644 INFO  ShoppingCartPage :49 - get Shopping CartText [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //h1[normalize-space()='Shopping cart']]
2023-05-14 20:05:671 INFO  ShoppingCartPage :140 - get Number Of Quantity Value [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //button[normalize-space()='Go to cart']]
2023-05-14 20:05:727 INFO  ShoppingCartPage :61 - get PriceText [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //span[@class='value-summary']//strong]
2023-05-14 20:05:762 INFO  ShoppingCartPage :95 - select Terms And Condition [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //input[@id='termsofservice']]
2023-05-14 20:05:868 INFO  ShoppingCartPage :106 - click On CheckOut [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //button[@id='checkout']]
2023-05-14 20:05:512 INFO  LoginPage :32 - get Welcome Text [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2023-05-14 20:05:536 INFO  HomePage :120 - click On Register Tab [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //button[@class='button-1 register-button']]
2023-05-14 20:05:925 INFO  RegisterPage :43 - enter Firstname [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //input[@id='FirstName']]
2023-05-14 20:05:104 INFO  RegisterPage :55 - enter Lastname [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //input[@id='LastName']]
2023-05-14 20:05:259 INFO  RegisterPage :67 - enter Email [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //input[@id='Email']]
2023-05-14 20:05:464 INFO  RegisterPage :79 - enter Password [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //input[@id='Password']]
2023-05-14 20:05:625 INFO  RegisterPage :91 - enter Confirm Password [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //input[@id='ConfirmPassword']]
2023-05-14 20:05:783 INFO  RegisterPage :102 - click On Register Button [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //button[@id='register-button']]
2023-05-14 20:05:639 INFO  RegisterPage :114 - get Registration Completed Text [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //div[@class='result']]
2023-05-14 20:05:839 INFO  HomePage :48 - click On Computer Tab [[ChromeDriver: chrome on WINDOWS (3ffcc779ec1232cd97b6a68a10d8da96)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-14 20:05:405 INFO  ComputersPage :30 - click On Desktop [[ChromeDriver: chrome on WINDOWS (3ffcc779ec1232cd97b6a68a10d8da96)] -> xpath: //li[@class='active last']//a[normalize-space()='Desktops']]
2023-05-14 20:05:120 INFO  ComputersPage :100 - Get all product name after shorting 
2023-05-14 20:05:66 INFO  HomePage :48 - click On Computer Tab [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-14 20:05:688 INFO  ComputersPage :30 - click On Desktop [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //li[@class='active last']//a[normalize-space()='Desktops']]
2023-05-14 20:05:133 INFO  ComputersPage :46 - select Value From Shorting DropDown [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //select[@id='products-orderby']]
2023-05-14 20:05:300 INFO  ComputersPage :59 - click Add to Cart By ProductName 
2023-05-14 20:05:389 INFO  BuildYourOwnComputerPage :57 - get Build Your Own Computer Text [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //h1[normalize-space()='Build your own computer']]
2023-05-14 20:05:444 INFO  BuildYourOwnComputerPage :69 - select Processor [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //select[@id='product_attribute_1']]
2023-05-14 20:05:614 INFO  BuildYourOwnComputerPage :81 - select Ram [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //select[@id='product_attribute_2']]
2023-05-14 20:05:776 INFO  BuildYourOwnComputerPage :93 - select HDD 
2023-05-14 20:05:887 INFO  BuildYourOwnComputerPage :105 - select Os 
2023-05-14 20:05:997 INFO  BuildYourOwnComputerPage :116 -  select Microsoft Office SoftwareOption [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='product_attribute_5_10']]
2023-05-14 20:05:197 INFO  BuildYourOwnComputerPage :127 -  select Total Commander Software Option [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='product_attribute_5_12']]
2023-05-14 20:05:316 INFO  BuildYourOwnComputerPage :139 - get Total Price Text [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //div[@class='product-price']//span]
2023-05-14 20:05:350 INFO  BuildYourOwnComputerPage :150 - click On Add to Cart [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //button[@id='add-to-cart-button-1']]
2023-05-14 20:05:407 INFO  BuildYourOwnComputerPage :162 - get Successfully Added To CartText [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //div[@id='bar-notification']]
2023-05-14 20:05:440 INFO  CellPhonePage :136 - close Notification Bar [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //span[@title='Close']]
2023-05-14 20:05:522 INFO  BuildYourOwnComputerPage :184 - mouse Hover To ShoppingCart [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //span[@class='cart-label']]
2023-05-14 20:05:690 INFO  BuildYourOwnComputerPage :186 - mouse Hover To ShoppingCart And ClickOnCart [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //button[normalize-space()='Go to cart']]
2023-05-14 20:05:574 INFO  ShoppingCartPage :49 - get Shopping CartText [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //h1[normalize-space()='Shopping cart']]
2023-05-14 20:05:630 INFO  ShoppingCartPage :73 - change Value Of Quantity [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[contains(@id,'itemquantity')]]
2023-05-14 20:05:758 INFO  ShoppingCartPage :84 - update Shopping Cart [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //button[@id='updatecart']]
2023-05-14 20:05:229 INFO  ShoppingCartPage :61 - get PriceText [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //span[@class='value-summary']//strong]
2023-05-14 20:05:278 INFO  ShoppingCartPage :95 - select Terms And Condition [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='termsofservice']]
2023-05-14 20:05:381 INFO  ShoppingCartPage :106 - click On CheckOut [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //button[@id='checkout']]
2023-05-14 20:05:99 INFO  LoginPage :32 - get Welcome Text [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2023-05-14 20:05:130 INFO  LoginPage :40 - click On Guest Checkout [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //button[normalize-space()='Checkout as Guest']]
2023-05-14 20:05:923 INFO  CheckOutPage :95 - enter Firstname [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='BillingNewAddress_FirstName']]
2023-05-14 20:05:146 INFO  CheckOutPage :107 - enter Lastname [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='BillingNewAddress_LastName']]
2023-05-14 20:05:301 INFO  CheckOutPage :119 - enter Email [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='BillingNewAddress_Email']]
2023-05-14 20:05:495 INFO  CheckOutPage :131 - select Country [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='BillingNewAddress_Email']]
2023-05-14 20:05:664 INFO  CheckOutPage :143 - enter City [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='BillingNewAddress_City']]
2023-05-14 20:05:894 INFO  CheckOutPage :155 - enter Address1 [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='BillingNewAddress_Address1']]
2023-05-14 20:05:95 INFO  CheckOutPage :167 - enter Address1 [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='BillingNewAddress_ZipPostalCode']]
2023-05-14 20:05:268 INFO  CheckOutPage :179 - enter Phone Number [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='BillingNewAddress_PhoneNumber']]
2023-05-14 20:05:502 INFO  CheckOutPage :190 - click On Continue [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //button[@onclick='Billing.save()']]
2023-05-14 20:05:595 INFO  CheckOutPage :201 - select Next DayAir [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='shippingoption_1']]
2023-05-14 20:05:709 INFO  CheckOutPage :212 - click On Shipping Continue [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //button[@class='button-1 shipping-method-next-step-button']]
2023-05-14 20:05:796 INFO  CheckOutPage :223 - click On CreditCard [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='paymentmethod_1']]
2023-05-14 20:05:908 INFO  CheckOutPage :234 - click On Payment Continue [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //button[@class='button-1 payment-method-next-step-button']]
2023-05-14 20:05:12 INFO  CheckOutPage :246 - select CreditCard Type [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //select[@id='CreditCardType']]
2023-05-14 20:05:174 INFO  CheckOutPage :258 - enter Card Holder Name [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='CardholderName']]
2023-05-14 20:05:384 INFO  CheckOutPage :270 -  enter CardNumber [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //input[@id='CardNumber']]
2023-05-14 20:05:609 INFO  CheckOutPage :283 -  select Expiration Date 
2023-05-14 20:05:972 INFO  CheckOutPage :296 - enter CardCode 
2023-05-14 20:05:208 INFO  CheckOutPage :354 - click On Payment Info Continue [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //button[@class='button-1 payment-info-next-step-button']]
2023-05-14 20:05:322 INFO  CheckOutPage :308 - get Payment Type Text [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //span[normalize-space()='Credit Card']]
2023-05-14 20:05:368 INFO  CheckOutPage :320 - get Shipping Method Text [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //span[normalize-space()='Next Day Air']]
2023-05-14 20:05:418 INFO  CheckOutPage :332 - get Total PriceText [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //span[@class='product-subtotal']]
2023-05-14 20:05:463 INFO  CheckOutPage :343 - click On Confirm [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //button[normalize-space()='Confirm']]
2023-05-14 20:05:580 INFO  HomePage :60 - get Thank You Text [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //h1[normalize-space()='Thank you']]
2023-05-14 20:05:643 INFO  HomePage :72 - get Successful Text [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //strong[normalize-space()='Your order has been successfully processed!']]
2023-05-14 20:05:689 INFO  HomePage :83 - click On Continue [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //button[normalize-space()='Continue']]
2023-05-14 20:05:234 INFO  HomePage :95 - get Welcome Store Text [[ChromeDriver: chrome on WINDOWS (9b48030ccbf21b991098caa2e05f6478)] -> xpath: //h2[normalize-space()='Welcome to our store']]
2023-05-14 20:05:775 INFO  ElectronicsPage :34 - This method select menu on top menu 
2023-05-14 20:05:325 INFO  ElectronicsPage :24 - get Electronics HeaderText [[ChromeDriver: chrome on WINDOWS (5119c98efe7be921bc3d02737bc7ab19)] -> xpath: //h1[normalize-space()='Electronics']]
2023-05-14 20:05:498 INFO  ElectronicsPage :34 - This method select menu on top menu 
2023-05-14 20:05:255 INFO  ElectronicsPage :24 - get Electronics HeaderText [[ChromeDriver: chrome on WINDOWS (c1066fd928d3894591a16b83ffd6a541)] -> xpath: //h1[normalize-space()='Electronics']]
2023-05-14 20:05:08 INFO  HomePage :48 - click On Computer Tab [[ChromeDriver: chrome on WINDOWS (f1a34aa3990353079361653f520a9bed)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-14 20:05:988 INFO  ComputersPage :30 - click On Desktop [[ChromeDriver: chrome on WINDOWS (f1a34aa3990353079361653f520a9bed)] -> xpath: //li[@class='active last']//a[normalize-space()='Desktops']]
2023-05-14 20:05:217 INFO  ComputersPage :100 - Get all product name after shorting 
2023-05-14 20:05:742 INFO  ElectronicsPage :34 - This method select menu on top menu 
2023-05-14 20:05:299 INFO  ElectronicsPage :24 - get Electronics HeaderText [[ChromeDriver: chrome on WINDOWS (dc88ffe2cc2a06bb3672409054a82b53)] -> xpath: //h1[normalize-space()='Electronics']]
2023-05-14 20:05:936 INFO  HomePage :103 - mouse Hover To Electronic Tab [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-14 20:05:83 INFO  HomePage :112 - mouseHover ToCell Phones And Click [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-14 20:05:386 INFO  CellPhonePage :46 - get Cell Phone Text [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //h1[normalize-space()='Cell phones']]
2023-05-14 20:05:445 INFO  CellPhonePage :54 - click On List ViewIcon [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //h1[normalize-space()='Cell phones']]
2023-05-14 20:05:579 INFO  CellPhonePage :66 - select Phone FromList 
2023-05-14 20:05:520 INFO  CellPhonePage :78 - get Product NameText [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //h1[normalize-space()='Nokia Lumia 1020']]
2023-05-14 20:05:579 INFO  CellPhonePage :90 - get PriceText [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //div[@class='product-price']//span[normalize-space()='$349.00']]
2023-05-14 20:05:651 INFO  CellPhonePage :102 - update Quantity [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //input[@id='product_enteredQuantity_20']]
2023-05-14 20:05:901 INFO  CellPhonePage :113 - click On Add ToCart [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //button[@id='add-to-cart-button-20']]
2023-05-14 20:05:07 INFO  CellPhonePage :125 - get Successfull Added To CartText [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //div[@id='bar-notification']]
2023-05-14 20:05:54 INFO  CellPhonePage :136 - close Notification Bar [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //span[@title='Close']]
2023-05-14 20:05:166 INFO  ShoppingCartPage :117 - mouse Hover To Shopping Card [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //span[@class='cart-label']]
2023-05-14 20:05:331 INFO  ShoppingCartPage :128 - mouse Hover To GoTo Card And Click [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //button[normalize-space()='Go to cart']]
2023-05-14 20:05:858 INFO  ShoppingCartPage :49 - get Shopping CartText [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //h1[normalize-space()='Shopping cart']]
2023-05-14 20:05:896 INFO  ShoppingCartPage :140 - get Number Of Quantity Value [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //button[normalize-space()='Go to cart']]
2023-05-14 20:05:969 INFO  ShoppingCartPage :61 - get PriceText [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //span[@class='value-summary']//strong]
2023-05-14 20:05:24 INFO  ShoppingCartPage :95 - select Terms And Condition [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //input[@id='termsofservice']]
2023-05-14 20:05:142 INFO  ShoppingCartPage :106 - click On CheckOut [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //button[@id='checkout']]
2023-05-14 20:05:616 INFO  LoginPage :32 - get Welcome Text [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2023-05-14 20:05:643 INFO  HomePage :120 - click On Register Tab [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //button[@class='button-1 register-button']]
2023-05-14 20:05:995 INFO  RegisterPage :43 - enter Firstname [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //input[@id='FirstName']]
2023-05-14 20:05:138 INFO  RegisterPage :55 - enter Lastname [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //input[@id='LastName']]
2023-05-14 20:05:287 INFO  RegisterPage :67 - enter Email [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //input[@id='Email']]
2023-05-14 20:05:476 INFO  RegisterPage :79 - enter Password [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //input[@id='Password']]
2023-05-14 20:05:571 INFO  RegisterPage :91 - enter Confirm Password [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //input[@id='ConfirmPassword']]
2023-05-14 20:05:691 INFO  RegisterPage :102 - click On Register Button [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //button[@id='register-button']]
2023-05-14 20:05:365 INFO  RegisterPage :114 - get Registration Completed Text [[ChromeDriver: chrome on WINDOWS (73e99245fb464525a8906d0b417258c5)] -> xpath: //div[@class='result']]
2023-05-14 20:05:474 INFO  HomePage :48 - click On Computer Tab [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-14 20:05:525 INFO  ComputersPage :30 - click On Desktop [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //li[@class='active last']//a[normalize-space()='Desktops']]
2023-05-14 20:05:932 INFO  ComputersPage :46 - select Value From Shorting DropDown [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //select[@id='products-orderby']]
2023-05-14 20:05:90 INFO  ComputersPage :59 - click Add to Cart By ProductName 
2023-05-14 20:05:519 INFO  BuildYourOwnComputerPage :57 - get Build Your Own Computer Text [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //h1[normalize-space()='Build your own computer']]
2023-05-14 20:05:591 INFO  BuildYourOwnComputerPage :69 - select Processor [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //select[@id='product_attribute_1']]
2023-05-14 20:05:785 INFO  BuildYourOwnComputerPage :81 - select Ram [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //select[@id='product_attribute_2']]
2023-05-14 20:05:918 INFO  BuildYourOwnComputerPage :93 - select HDD 
2023-05-14 20:05:14 INFO  BuildYourOwnComputerPage :105 - select Os 
2023-05-14 20:05:130 INFO  BuildYourOwnComputerPage :116 -  select Microsoft Office SoftwareOption [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //input[@id='product_attribute_5_10']]
2023-05-14 20:05:334 INFO  BuildYourOwnComputerPage :127 -  select Total Commander Software Option [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //input[@id='product_attribute_5_12']]
2023-05-14 20:05:435 INFO  BuildYourOwnComputerPage :139 - get Total Price Text [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //div[@class='product-price']//span]
2023-05-14 20:05:467 INFO  BuildYourOwnComputerPage :150 - click On Add to Cart [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //button[@id='add-to-cart-button-1']]
2023-05-14 20:05:532 INFO  BuildYourOwnComputerPage :162 - get Successfully Added To CartText [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //div[@id='bar-notification']]
2023-05-14 20:05:573 INFO  CellPhonePage :136 - close Notification Bar [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //span[@title='Close']]
2023-05-14 20:05:632 INFO  BuildYourOwnComputerPage :184 - mouse Hover To ShoppingCart [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //span[@class='cart-label']]
2023-05-14 20:05:784 INFO  BuildYourOwnComputerPage :186 - mouse Hover To ShoppingCart And ClickOnCart [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //button[normalize-space()='Go to cart']]
2023-05-14 20:05:348 INFO  ShoppingCartPage :49 - get Shopping CartText [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //h1[normalize-space()='Shopping cart']]
2023-05-14 20:05:383 INFO  ShoppingCartPage :73 - change Value Of Quantity [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //input[contains(@id,'itemquantity')]]
2023-05-14 20:05:538 INFO  ShoppingCartPage :84 - update Shopping Cart [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //button[@id='updatecart']]
2023-05-14 20:05:15 INFO  ShoppingCartPage :61 - get PriceText [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //span[@class='value-summary']//strong]
2023-05-14 20:05:54 INFO  ShoppingCartPage :95 - select Terms And Condition [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //input[@id='termsofservice']]
2023-05-14 20:05:134 INFO  ShoppingCartPage :106 - click On CheckOut [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //button[@id='checkout']]
2023-05-14 20:05:866 INFO  LoginPage :32 - get Welcome Text [[ChromeDriver: chrome on WINDOWS (d20b00d5df10efd6e99a077e41338812)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
